Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,101,UCT,Thompson,UCT,93,4.183963789331677,4.056274331975478,2.7767001669457616,2.7805995215540347
HexState,11,102,Thompson,UCT,Thompson,63,4.435848604436976,4.258975192744652,2.3489520165228073,2.3418899849057198
HexState,11,103,UCT,Thompson,Thompson,88,4.247518378828871,4.039167704321911,2.271795771338723,2.2333826151761142
HexState,11,104,Thompson,UCT,UCT,92,4.20790838886065,4.125838446276359,2.9066259446351426,2.9046098926792974
HexState,11,105,UCT,Thompson,Thompson,80,4.312687838182846,4.163373603116115,2.69871985912323,2.6641968131065368
HexState,11,106,Thompson,UCT,Thompson,79,4.312719501585054,4.158594508710541,2.9271633197099733,2.8736210584640505
HexState,11,107,UCT,Thompson,Thompson,76,4.348939269177046,4.133541413986973,2.63080716760535,2.587480011739229
HexState,11,108,Thompson,UCT,UCT,74,4.335733185042701,4.2331089641167745,3.0965906284950875,3.07987059129251
HexState,11,109,UCT,Thompson,Thompson,82,4.28908115090011,4.125029397754953,2.793863686119638,2.737978615411898
HexState,11,110,Thompson,UCT,UCT,80,4.299065888567864,4.208083657755521,2.994195061922073,2.988901436328888
