Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,201,UCT,Thompson,Thompson,82,4.296134108248444,4.104839303587841,2.197716811808144,2.1793072688870314
HexState,11,202,Thompson,UCT,UCT,70,4.368426828178358,4.229972580870252,2.5509935310908727,2.589780514580863
HexState,11,203,UCT,Thompson,Thompson,84,4.286457884016905,4.094145975609025,2.569187595730736,2.535888422103155
HexState,11,204,Thompson,UCT,Thompson,83,4.283964587869381,4.095230490015129,2.6877204034386613,2.64750874042511
HexState,11,205,UCT,Thompson,Thompson,62,4.443646698499494,4.245404958369647,2.877176876991026,2.8374170180289977
HexState,11,206,Thompson,UCT,Thompson,79,4.315114382402401,4.123941597971628,2.9063010949354906,2.8589440286159515
HexState,11,207,UCT,Thompson,UCT,85,4.245708226623695,4.173919626531447,2.5412888138793237,2.4974867275782993
HexState,11,208,Thompson,UCT,Thompson,65,4.414837738794595,4.278156382375747,2.5361196622252464,2.550570516875296
HexState,11,209,UCT,Thompson,Thompson,68,4.3952892744141625,4.2148893176921955,2.8299112249823177,2.7937566532808193
HexState,11,210,Thompson,UCT,UCT,96,4.153492689292899,4.078108211552345,2.305821254849434,2.298098931709925
