Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,41,Hybrid,Thompson,Hybrid,73,0,4.307184233003909,4.3645055819961245,0,36.31006266011132,28.0281941246342
HexState,11,42,Thompson,Hybrid,Hybrid,46,0,4.448264550970705,4.520675379427365,0,29.010841473289158,29.291037953418233
HexState,11,43,Hybrid,Thompson,Thompson,46,0,4.280710500931105,4.531057598861136,0,36.907436951347016,37.7977089467256
HexState,11,44,Thompson,Hybrid,Thompson,45,0,4.344863468874561,4.536542667637247,0,31.142766558605693,31.38004072145982
HexState,11,45,Hybrid,Thompson,Hybrid,63,0,4.3487996466334184,4.422307269313205,0,35.515366646551314,36.10040534287691
HexState,11,46,Thompson,Hybrid,Hybrid,56,0,4.365381335704127,4.45000029078673,0,36.582747084753855,36.49811966078622
HexState,11,47,Hybrid,Thompson,Hybrid,43,0,4.4811558520353305,4.5383764481587745,0,32.80728482064747,33.78196821429513
HexState,11,48,Thompson,Hybrid,Thompson,55,0,4.251594687951525,4.474187728443688,0,29.36910170316696,30.037098045702333
HexState,11,49,Hybrid,Thompson,Hybrid,47,0,4.45346832888707,4.516494194123639,0,34.71163978783981,35.443676471710205
HexState,11,50,Thompson,Hybrid,Thompson,47,0,4.240237927300325,4.519155845223108,0,38.549965143203735,39.06864965480307
