Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,51,Hybrid,Thompson,Hybrid,49,0,4.451477162921494,4.506356733851284,0,43.964093734820686,31.339517755508425
HexState,11,52,Thompson,Hybrid,Thompson,53,0,4.204115193640329,4.481026789372793,0,38.49123696927671,39.659114599227905
HexState,11,53,Hybrid,Thompson,Thompson,44,0,4.302902799750478,4.5457318113361405,0,29.1283420866186,30.10006740960208
HexState,11,54,Thompson,Hybrid,Hybrid,44,0,4.455668952650917,4.523086001299544,0,34.7340781471946,34.873763691295274
HexState,11,55,Hybrid,Thompson,Hybrid,53,0,4.41445902356351,4.485032452843752,0,29.700971328295193,30.200086761403966
HexState,11,56,Thompson,Hybrid,Thompson,43,0,4.242086339184873,4.5500984966357505,0,40.049647342075,40.902149688629876
HexState,11,57,Hybrid,Thompson,Thompson,48,0,4.2941846237957035,4.514907051771305,0,31.15465082724889,32.17690025766691
HexState,11,58,Thompson,Hybrid,Thompson,61,0,4.2099620950324,4.4367650094279005,0,30.79557466506958,31.16850950717926
HexState,11,59,Hybrid,Thompson,Thompson,66,0,4.068019904189066,4.400541991532309,0,38.36428113417192,38.76012085423325
HexState,11,60,Thompson,Hybrid,Hybrid,60,0,4.302416642994457,4.420768356572244,0,37.6493052482605,38.180589413642885
