Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,161,UCT,Thompson,Thompson,40,4.55858145487454,4.2670209913974,39.26579169034958,37.830177903175354
HexState,11,162,Thompson,UCT,Thompson,45,4.532142471552759,4.307771319352663,38.010212898254395,37.64638991977858
HexState,11,163,UCT,Thompson,Thompson,36,4.584510701959663,4.3644991387861625,38.16581990983751,37.00137907928891
HexState,11,164,Thompson,UCT,UCT,70,4.359209888051448,4.230970375442134,29.975355543409076,30.27368429728917
HexState,11,165,UCT,Thompson,Thompson,46,4.52775448284264,4.286915330137334,39.00102993716364,38.12539501812147
HexState,11,166,Thompson,UCT,Thompson,59,4.44132097041217,4.159596696081234,31.898633290981426,30.874355324109395
HexState,11,167,UCT,Thompson,Thompson,38,4.576128725946129,4.367688031563297,42.242383555362096,41.70517794709457
HexState,11,168,Thompson,UCT,Thompson,61,4.434387577654046,4.219044344040948,37.38135871887207,36.94219097014396
HexState,11,169,UCT,Thompson,Thompson,56,4.4670027023057886,4.227155192585093,37.78248575755528,36.59133367027555
HexState,11,170,Thompson,UCT,Thompson,39,4.5677403630435665,4.367114017618419,36.023102270929435,35.61913732290268
