Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,401,UCT,Thompson,Thompson,76,5.174024718674136,5.135682495214023,1.3255590200424194,1.321249196403905
GomokuState,15,402,Thompson,UCT,Thompson,73,5.177972612311335,5.149338077869829,1.3713702758153279,1.3556254232251965
GomokuState,15,403,UCT,Thompson,Thompson,78,5.170880409905499,5.127691729316779,1.2617369064917932,1.2137118241725824
GomokuState,15,404,Thompson,UCT,Thompson,85,5.137842043475951,5.105304548849577,1.2748576062066215,1.257512508436691
GomokuState,15,405,UCT,Thompson,Thompson,62,5.210163826900576,5.185322709026622,1.3300081760652605,1.2907062345935452
GomokuState,15,406,Thompson,UCT,UCT,52,5.238415369050498,5.225112061522896,1.5029127964606652,1.5163650237596953
GomokuState,15,407,UCT,Thompson,Thompson,32,5.299653820083046,5.283515888910145,1.6710296273231506,1.6207432448863983
GomokuState,15,408,Thompson,UCT,UCT,70,5.178504257678398,5.162827193497193,1.2213835511888778,1.246882118497576
GomokuState,15,409,UCT,Thompson,UCT,83,5.137511279424611,5.114306104640348,1.3007690792992002,1.2720759380154494
GomokuState,15,410,Thompson,UCT,Thompson,75,5.166825351439422,5.143817954773497,1.309565325041075,1.3079536149376316
