Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,81,UCT,Thompson,Thompson,72,4.362528657004949,4.224321585549348,3.1504062943988376,3.12806236743927
HexState,11,82,Thompson,UCT,Thompson,65,4.420224195536291,4.258141776847202,2.879763826727867,2.8524653189110034
HexState,11,83,UCT,Thompson,UCT,83,4.278314109678734,4.168796144056164,2.8808829216730025,2.852648874608482
HexState,11,84,Thompson,UCT,Thompson,79,4.313512853803153,4.1232486015773055,2.795784876896785,2.7792255759239195
HexState,11,85,UCT,Thompson,UCT,75,4.334883776736237,4.182280289229592,3.0003211811969153,3.0132379918485075
HexState,11,86,Thompson,UCT,Thompson,99,4.15463622876546,3.9651426256421978,2.3003508217480717,2.272001013755798
HexState,11,87,UCT,Thompson,Thompson,98,4.147834939911439,3.923305000788812,2.3767609109683914,2.3506344532480044
HexState,11,88,Thompson,UCT,Thompson,87,4.242402415782527,4.046293399546458,3.0889115111772405,3.054297100413929
HexState,11,89,UCT,Thompson,UCT,75,4.327274250253542,4.220088604656957,2.626768708229065,2.6135896476539404
HexState,11,90,Thompson,UCT,Thompson,101,4.115062767902327,3.9285064300305494,2.5364756107330324,2.50927884905946
