Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,51,UCT,Thompson,UCT,81,4.283804575452429,4.200417129543118,3.354266730750479,3.3337102949619295
HexState,11,52,Thompson,UCT,UCT,94,4.173356122858353,4.047412906116146,2.7643990212298455,2.7649710178375244
HexState,11,53,UCT,Thompson,Thompson,78,4.307911577181493,4.195915220720372,2.88245204778818,2.7978651217925243
HexState,11,54,Thompson,UCT,UCT,94,4.182045705749907,4.033289912051463,3.1382944380983395,3.1766129605313567
HexState,11,55,UCT,Thompson,UCT,97,4.142530448571103,4.0328481290427565,3.240586217568845,3.2527165512243905
HexState,11,56,Thompson,UCT,Thompson,59,4.453489381058403,4.280704209607689,3.2978948889107538,3.3156580766042074
HexState,11,57,UCT,Thompson,Thompson,78,4.321601097618183,4.125629349595921,2.7823741802802453,2.7191652884850135
HexState,11,58,Thompson,UCT,Thompson,77,4.335094207023873,4.164052086833958,2.6138514907736528,2.609364778567583
HexState,11,59,UCT,Thompson,UCT,95,4.162977039275473,4.066744397401347,3.1541983236869178,3.1635519037855433
HexState,11,60,Thompson,UCT,Thompson,69,4.379260506568094,4.22373945312803,3.205695664181429,3.174860109601702
