Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,141,UCT,Thompson,Thompson,82,4.288853012702016,4.122691014038521,2.5828468566987572,2.5069085504950546
HexState,11,142,Thompson,UCT,UCT,70,4.3663239831042295,4.23729898157489,3.130924688066755,3.1314685208456856
HexState,11,143,UCT,Thompson,UCT,99,4.115829452055324,3.9957915199771934,3.1020240783691406,3.0954352592935366
HexState,11,144,Thompson,UCT,UCT,86,4.245364020642534,4.100594282054012,2.9063516716624416,2.955660492874855
HexState,11,145,UCT,Thompson,Thompson,80,4.29704649349514,4.153731625841532,2.7273352324962614,2.665172839164734
HexState,11,146,Thompson,UCT,Thompson,75,4.341242955758881,4.166866822724745,3.2559388972617485,3.2384882537942183
HexState,11,147,UCT,Thompson,Thompson,74,4.347008132611182,4.1581841460516165,3.0410746239327096,2.985399091565931
HexState,11,148,Thompson,UCT,Thompson,77,4.330201560882983,4.15899751380948,3.295730007322211,3.308529474796393
HexState,11,149,UCT,Thompson,Thompson,98,4.145510711486598,3.992674665764143,2.227171095050111,2.1448492176678715
HexState,11,150,Thompson,UCT,Thompson,81,4.301815921679554,4.123464313601053,3.064422595500946,3.00990700140232
