Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,451,UCT,Thompson,Thompson,90,5.117473843378044,5.08613180950315,1.0169923093583848,0.9949534628126356
GomokuState,15,452,Thompson,UCT,Thompson,43,5.266083756476876,5.250545373778535,1.1695956956772577,1.153957637873563
GomokuState,15,453,UCT,Thompson,Thompson,94,5.126105644298289,5.065599109454401,0.8718432111943022,0.8424947515447089
GomokuState,15,454,Thompson,UCT,UCT,50,5.244202045638252,5.230370480103459,1.1481245613098146,1.1588187217712402
GomokuState,15,455,UCT,Thompson,Thompson,52,5.243799547066127,5.217732068841562,1.1406392042453473,1.1170939482175386
GomokuState,15,456,Thompson,UCT,Thompson,85,5.142040934372141,5.104452800922882,0.9470309075855073,0.9313805824102357
GomokuState,15,457,UCT,Thompson,Thompson,84,5.15169188662886,5.104353309643047,0.9404458772568476,0.9172862484341576
GomokuState,15,458,Thompson,UCT,Thompson,95,5.105763683624959,5.066189304734204,0.8710148892504104,0.8625304400920868
GomokuState,15,459,UCT,Thompson,Thompson,78,5.1715780740971855,5.122533687738967,0.9541535316369473,0.9188094628162873
GomokuState,15,460,Thompson,UCT,UCT,80,5.1577802454797235,5.130129879818931,0.9705635368824005,0.9681804060935975
