Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,41,UCT,Thompson,UCT,99,4.124085402926954,4.017159627737995,2.708908996582031,2.7001716506724454
HexState,11,42,Thompson,UCT,Thompson,79,4.321980104636494,4.141619519516537,2.9189987732813907,2.8961045801639558
HexState,11,43,UCT,Thompson,Thompson,66,4.406595658856743,4.232131754775042,3.0981248292055996,3.0588098150311094
HexState,11,44,Thompson,UCT,Thompson,75,4.3462831422475,4.152308842877837,2.8438859823587777,2.805774544414721
HexState,11,45,UCT,Thompson,Thompson,78,4.316699032472544,4.195470117099275,3.543107961997008,3.466062191205147
HexState,11,46,Thompson,UCT,Thompson,89,4.229162069095506,4.112471552518383,2.646223458376798,2.5872308201260035
HexState,11,47,UCT,Thompson,UCT,83,4.271567271561885,4.115651278157636,3.0141525722685314,3.0010521237443135
HexState,11,48,Thompson,UCT,Thompson,79,4.306367628701629,4.140159374526123,3.1502789717454176,3.1474478960037233
HexState,11,49,UCT,Thompson,Thompson,80,4.29953316782129,4.1094385277306635,2.729672688245773,2.6860262989997863
HexState,11,50,Thompson,UCT,UCT,80,4.291432884813263,4.169466052587967,3.0027143359184265,2.9907682657241823
