Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,1,UCT,Thompson,Thompson,100,5.091880602906476,5.049183681130455,1.1891417598724365,1.1656203174591064
GomokuState,15,2,Thompson,UCT,Thompson,47,5.255292400527211,5.238814112242373,1.5450232754582944,1.5266788601875305
GomokuState,15,3,UCT,Thompson,Thompson,72,5.182006184007161,5.149864289392854,1.3037430776490107,1.2706991566552057
GomokuState,15,4,Thompson,UCT,Thompson,81,5.145194357075077,5.120725765416849,1.260076242685318,1.2435902444327749
GomokuState,15,5,UCT,Thompson,Thompson,68,5.194281957736274,5.163995333901536,1.381901881274055,1.3510554397807402
GomokuState,15,6,Thompson,UCT,Thompson,47,5.253745406015212,5.235771029719303,1.5410408248072085,1.531335214773814
GomokuState,15,7,UCT,Thompson,Thompson,90,5.11948233668068,5.085585007784543,1.1964209927452936,1.1636042647891573
GomokuState,15,8,Thompson,UCT,Thompson,73,5.175964164441549,5.147236077446724,1.2894147237141926,1.2749539517067574
GomokuState,15,9,UCT,Thompson,UCT,77,5.155527523294636,5.135839276686744,1.310741968643971,1.2981266787177639
GomokuState,15,10,Thompson,UCT,UCT,70,5.175918095836279,5.16366045943028,1.222038813999721,1.236730146408081
