Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,371,UCT,Thompson,Thompson,40,5.270742299626007,5.022732045685316,16.495284628868102,15.446699273586272
GomokuState,15,372,Thompson,UCT,UCT,32,5.281202880012899,5.219607924506123,16.665554478764534,16.187987506389618
GomokuState,15,373,UCT,Thompson,Thompson,42,5.2605459138313435,5.012162397241646,16.322195314225695,15.16295447803679
GomokuState,15,374,Thompson,UCT,Thompson,47,5.2472478464694206,5.015101426581362,16.235095335089643,15.230413258075714
GomokuState,15,375,UCT,Thompson,Thompson,20,5.313053296171625,4.889029101647874,18.38091559410095,16.41612591743469
GomokuState,15,376,Thompson,UCT,Thompson,35,5.277602902565245,4.975652919837162,16.963703127468335,15.71073944038815
GomokuState,15,377,UCT,Thompson,Thompson,30,5.294967112358593,5.030305113641346,17.538550043106078,16.14510463078817
GomokuState,15,378,Thompson,UCT,Thompson,37,5.272576109169624,5.0011567845348415,17.26904875702328,16.110338474574842
GomokuState,15,379,UCT,Thompson,UCT,41,5.259063740513274,5.168557954049105,15.920819600423178,15.309135603904725
GomokuState,15,380,Thompson,UCT,UCT,22,5.3054905166171755,5.229061718675067,16.73157800327648,16.353317109021273
