Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,361,UCT,Thompson,Thompson,46,4.529109650901353,4.283075220741805,37.02346155954444,36.04044410456782
HexState,11,362,Thompson,UCT,Thompson,47,4.523295723487207,4.317417149575213,29.147071796914805,28.93388565381368
HexState,11,363,UCT,Thompson,UCT,53,4.48200638434444,4.415228294749803,29.09947645222699,28.866753917474014
HexState,11,364,Thompson,UCT,UCT,50,4.494622393129372,4.426895789584528,29.824787044525145,29.608163232803346
HexState,11,365,UCT,Thompson,UCT,65,4.399754789306596,4.325478938721557,29.11302375793457,28.762362852692604
HexState,11,366,Thompson,UCT,Thompson,41,4.549735480532364,4.3684842172982865,34.040152442455295,33.32941838673183
HexState,11,367,UCT,Thompson,UCT,57,4.4484782523663755,4.37627730922659,34.88248446892048,34.218085076127736
HexState,11,368,Thompson,UCT,Thompson,61,4.45192594641651,4.203476632542201,22.515378832817078,22.573893731640233
HexState,11,369,UCT,Thompson,UCT,47,4.513804088633904,4.434894957386462,26.757258037726086,26.169705971427586
HexState,11,370,Thompson,UCT,Thompson,47,4.5180215665655306,4.275590859063022,26.460324370342754,25.833110978205998
