Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,111,UCT,Thompson,Thompson,68,4.3881368524921935,4.052627395558071,39.388807226629815,38.41518158071182
HexState,11,112,Thompson,UCT,UCT,48,4.497816291230753,4.428715417371671,40.6663225988547,40.18097480138143
HexState,11,113,UCT,Thompson,UCT,63,4.415605473052928,4.323437857958926,42.75608368217945,42.441137175406176
HexState,11,114,Thompson,UCT,Thompson,53,4.487828369672698,4.218708426324434,42.544900224759026,41.80974166481583
HexState,11,115,UCT,Thompson,Thompson,54,4.482860098432444,4.201507823547049,41.71792350875007,40.182883730641116
HexState,11,116,Thompson,UCT,UCT,50,4.490614449117633,4.420435083698722,44.658756732940674,43.771294832229614
HexState,11,117,UCT,Thompson,Thompson,48,4.516614063109189,4.2338241831872585,35.627707769473396,34.540905545155205
HexState,11,118,Thompson,UCT,UCT,64,4.39805966539071,4.32806527022686,44.04739286750555,44.011139176785946
HexState,11,119,UCT,Thompson,Thompson,40,4.564298199150813,4.361560020860855,39.312986123561856,38.56532196998596
