Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,261,UCT,Thompson,UCT,49,5.239084618924121,5.164572000867103,16.339410457611084,15.714596798022589
GomokuState,15,262,Thompson,UCT,Thompson,37,5.273768845906925,5.051545963692823,17.171753485997517,16.048275583668758
GomokuState,15,263,UCT,Thompson,Thompson,42,5.261907361229906,5.0040070475928875,16.891576766967773,15.52786051659357
GomokuState,15,264,Thompson,UCT,Thompson,31,5.286761504601909,4.9645152891573305,17.451292562484742,16.025342404842377
GomokuState,15,265,UCT,Thompson,Thompson,42,5.2612131994214355,5.031821214748935,16.72921411196391,15.375697158631825
GomokuState,15,266,Thompson,UCT,Thompson,35,5.277791623508592,5.0112346874187175,17.459191715016086,16.281297630733913
GomokuState,15,267,UCT,Thompson,Thompson,44,5.2551461696986195,5.031009975836539,16.642507574775003,15.290609468113292
GomokuState,15,268,Thompson,UCT,Thompson,33,5.281461117507459,4.977940207888012,17.175082698464394,15.951466364019057
GomokuState,15,269,UCT,Thompson,UCT,29,5.289364308808378,5.190075208790055,17.207067664464315,16.390287722860062
GomokuState,15,270,Thompson,UCT,Thompson,29,5.291699903776297,5.002303723194734,16.287703684398107,14.981662209828695
