Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,50,Thompson,Hybrid,Thompson,47,0,4.240237927300325,4.519155845223108,0,38.549965143203735,39.06864965480307
HexState,11,51,Hybrid,Thompson,Hybrid,49,0,4.451477162921494,4.506356733851284,0,43.964093734820686,31.339517755508425
HexState,11,52,Thompson,Hybrid,Thompson,53,0,4.204115193640329,4.481026789372793,0,38.49123696927671,39.65911459922791
HexState,11,53,Hybrid,Thompson,Thompson,44,0,4.302902799750478,4.5457318113361405,0,29.1283420866186,30.10006740960208
HexState,11,54,Thompson,Hybrid,Hybrid,44,0,4.455668952650917,4.523086001299544,0,34.7340781471946,34.873763691295274
HexState,11,55,Hybrid,Thompson,Hybrid,53,0,4.41445902356351,4.485032452843752,0,29.700971328295196,30.200086761403966
HexState,11,56,Thompson,Hybrid,Thompson,43,0,4.242086339184873,4.550098496635751,0,40.049647342075,40.90214968862988
HexState,11,57,Hybrid,Thompson,Thompson,48,0,4.294184623795704,4.514907051771305,0,31.15465082724889,32.17690025766691
HexState,11,58,Thompson,Hybrid,Thompson,61,0,4.2099620950324,4.4367650094279005,0,30.79557466506958,31.16850950717926
HexState,11,59,Hybrid,Thompson,Thompson,66,0,4.068019904189066,4.400541991532309,0,38.36428113417192,38.76012085423325
HexState,11,60,Thompson,Hybrid,Hybrid,60,0,4.302416642994457,4.420768356572244,0,37.6493052482605,38.180589413642885
HexState,11,61,Hybrid,Thompson,Hybrid,33,0,4.535293993329171,4.590079402952951,0,59.50571043789387,40.403023453319776
HexState,11,62,Thompson,Hybrid,Thompson,49,0,4.304956684276755,4.511488918989891,0,37.08773644447327,37.30804120500883
HexState,11,63,Hybrid,Thompson,Hybrid,51,0,4.418657610082313,4.494054311323231,0,29.874013662338257,30.355941891670227
HexState,11,64,Thompson,Hybrid,Hybrid,46,0,4.443570654008551,4.517608174391344,0,35.891181479329646,36.22361890129421
HexState,11,65,Hybrid,Thompson,Hybrid,71,0,4.188439072628071,4.32621956750308,0,33.92380453518459,33.751162734296585
HexState,11,66,Thompson,Hybrid,Hybrid,40,0,4.471925600342421,4.546542038643236,0,32.77132157087326,32.91628497838974
HexState,11,67,Hybrid,Thompson,Thompson,62,0,4.141419688701086,4.429162399416265,0,32.167034502952326,32.64345476704259
HexState,11,68,Thompson,Hybrid,Thompson,53,0,4.193655140810525,4.480007513989779,0,34.91993594169617,35.91882194005526
HexState,11,69,Hybrid,Thompson,Hybrid,43,0,4.482394457748349,4.54315234831616,0,36.08906244096302,36.67396621270613
HexState,11,70,Thompson,Hybrid,Hybrid,50,0,4.429117335633776,4.494832641153047,0,38.63670837402344,38.86474425315857
HexState,11,71,Hybrid,Thompson,Thompson,42,0,4.339543317225375,4.554948877030135,0,51.375311227071855,36.88147419974918
HexState,11,72,Thompson,Hybrid,Thompson,47,0,4.248420794712469,4.517909672668834,0,28.020749708016712,28.473880809286367
HexState,11,73,Hybrid,Thompson,Hybrid,53,0,4.400581800436717,4.47435285135203,0,33.06802810155428,33.73902781804403
HexState,11,74,Thompson,Hybrid,Thompson,41,0,4.384309970684581,4.562737314876281,0,36.11644433793568,36.68824743032455
HexState,11,75,Hybrid,Thompson,Thompson,62,0,4.142461098919522,4.426805226734863,0,35.78288482850598,37.18135004658853
HexState,11,76,Thompson,Hybrid,Thompson,59,0,4.200250700882092,4.445259115938248,0,30.41156557401021,31.475173547350128
HexState,11,77,Hybrid,Thompson,Hybrid,47,0,4.46579156212039,4.519755615426666,0,36.80228615843731,36.91883820295334
HexState,11,78,Thompson,Hybrid,Hybrid,56,0,4.385095837640406,4.451776866850162,0,32.88793420791626,32.83088772637503
